Period,Age Group,Gender,Category Combo,Location,Value
"2014","Above 65 Years","","Cough for 2+ weeks","Uganda",17
"2014","","","Fever","Uganda",10
"2014","15 - 24 Years","","Bloodstained sputum","Uganda",0
"2014","25 - 34 Years","","Bloodstained sputum","Uganda",0
"2014","45 - 54 Years","","Bloodstained sputum","Uganda",0
"2014","55 - 64 Years","","Bloodstained sputum","Uganda",0
"2014","Above 65 Years","","Night sweats","Uganda",6
"2014","","","Cough with Sputum","Uganda",12
"2014","","Male","Chest pain","Uganda",26
"2014","","","Cough with Sputum","Uganda",10
"2014","","Male","Bloodstained sputum","Uganda",0
"2014","","Female","Bloodstained sputum","Uganda",0
"2014","35 - 44","","Bloodstained sputum","Uganda",0
"2014","15 - 24 Years","","Chest pain","Uganda",22
"2014","15 - 24 Years","","Fever","Uganda",7
"2014","15 - 24 Years","","Night sweats","Uganda",2
"2014","15 - 24 Years","","Cough for 2+ weeks","Uganda",4
"2014","15 - 24 Years","","Cough with Sputum","Uganda",9
"2014","15 - 24 Years","","Cough (any duration)","Uganda",20
"2014","","","Bloodstained sputum","Uganda",0
"2014","","","Bloodstained sputum","Uganda",0
"2014","","Female","Chest pain","Uganda",32
"2014","35 - 44","","Chest pain","Uganda",32
"2014","15 - 24 Years","","Weight loss","Uganda",5
"2014","","","Chest pain","Uganda",32
"2014","","","Chest pain","Uganda",24
"2014","35 - 44","","Weight loss","Uganda",7
"2014","","","Weight loss","Uganda",7
"2014","","","Weight loss","Uganda",5
"2014","35 - 44","","Fever","Uganda",9
"2014","","","Fever","Uganda",6
"2014","","Male","Night sweats","Uganda",4
"2014","","Female","Night sweats","Uganda",4
"2014","35 - 44","","Night sweats","Uganda",5
"2014","","","Night sweats","Uganda",5
"2014","","","Night sweats","Uganda",2
"2014","35 - 44","","Cough (any duration)","Uganda",21
"2014","","","Cough (any duration)","Uganda",22
"2014","","","Cough (any duration)","Uganda",20
"2014","","Male","Cough for 2+ weeks","Uganda",7
"2014","","Female","Cough for 2+ weeks","Uganda",6
"2014","35 - 44","","Cough for 2+ weeks","Uganda",7
"2014","","","Cough for 2+ weeks","Uganda",7
"2014","","","Cough for 2+ weeks","Uganda",5
"2014","","Male","Cough with Sputum","Uganda",11
"2014","","Female","Cough with Sputum","Uganda",11
"2014","35 - 44","","Cough with Sputum","Uganda",11
"2014","","Female","Cough (any duration)","Uganda",21
"2014","","Male","Weight loss","Uganda",6
"2014","","Female","Weight loss","Uganda",7
"2014","","Female","Fever","Uganda",9
"2014","","Male","Cough (any duration)","Uganda",21
"2014","25 - 34 Years","","Chest pain","Uganda",29
"2014","25 - 34 Years","","Fever","Uganda",8
"2014","25 - 34 Years","","Night sweats","Uganda",3
"2014","25 - 34 Years","","Cough for 2+ weeks","Uganda",5
"2014","25 - 34 Years","","Cough with Sputum","Uganda",10
"2014","25 - 34 Years","","Weight loss","Uganda",7
"2014","25 - 34 Years","","Cough (any duration)","Uganda",20
"2014","","Male","Fever","Uganda",7
"2014","45 - 54 Years","","Chest pain","Uganda",35
"2014","45 - 54 Years","","Weight loss","Uganda",7
"2014","45 - 54 Years","","Fever","Uganda",9
"2014","45 - 54 Years","","Night sweats","Uganda",7
"2014","45 - 54 Years","","Cough (any duration)","Uganda",23
"2014","45 - 54 Years","","Cough for 2+ weeks","Uganda",8
"2014","45 - 54 Years","","Cough with Sputum","Uganda",13
"2014","55 - 64 Years","","Chest pain","Uganda",39
"2014","55 - 64 Years","","Weight loss","Uganda",7
"2014","55 - 64 Years","","Fever","Uganda",10
"2014","55 - 64 Years","","Night sweats","Uganda",6
"2014","55 - 64 Years","","Cough (any duration)","Uganda",24
"2014","55 - 64 Years","","Cough for 2+ weeks","Uganda",10
"2014","55 - 64 Years","","Cough with Sputum","Uganda",15
"2014","Above 65 Years","","Bloodstained sputum","Uganda",1
"2014","Above 65 Years","","Chest pain","Uganda",41
"2014","Above 65 Years","","Cough (any duration)","Uganda",30
"2014","Above 65 Years","","Cough with Sputum","Uganda",19
"2014","Above 65 Years","","Weight loss","Uganda",9
"2014","Above 65 Years","","Fever","Uganda",12
