Period,Age Group,Gender,Category Combo,Location,Value
"2024","","","Q3","Acholi",96
"2024","","","Q4","Acholi",86
"2025","","","Q1","Acholi",121
"2025","","","Q2","Acholi",92
"2024","","","Q3","Ankole",131
"2024","","","Q4","Ankole",105
"2025","","","Q1","Ankole",100
"2025","","","Q2","Ankole",75
"2024","","","Q3","Bugisu",103
"2024","","","Q4","Bugisu",96
"2025","","","Q1","Bugisu",90
"2025","","","Q2","Bugisu",78
"2024","","","Q3","Bukedi",101
"2024","","","Q4","Bukedi",109
"2025","","","Q1","Bukedi",91
"2025","","","Q2","Bukedi",76
"2024","","","Q3","Bunyoro",97
"2024","","","Q4","Bunyoro",100
"2025","","","Q1","Bunyoro",97
"2025","","","Q2","Bunyoro",95
"2024","","","Q3","Busoga",100
"2024","","","Q4","Busoga",97
"2025","","","Q1","Busoga",90
"2025","","","Q2","Busoga",93
"2024","","","Q3","Kampala",105
"2024","","","Q4","Kampala",108
"2025","","","Q1","Kampala",103
"2025","","","Q2","Kampala",87
"2024","","","Q3","Karamoja",83
"2024","","","Q4","Karamoja",81
"2025","","","Q1","Karamoja",94
"2025","","","Q2","Karamoja",82
"2024","","","Q3","Kigezi",114
"2024","","","Q4","Kigezi",98
"2025","","","Q1","Kigezi",97
"2025","","","Q2","Kigezi",83
"2024","","","Q3","Lango",108
"2024","","","Q4","Lango",91
"2025","","","Q1","Lango",97
"2025","","","Q2","Lango",81
"2024","","","Q3","Teso",85
"2024","","","Q4","Teso",101
"2025","","","Q1","Teso",80
"2025","","","Q2","Teso",58
"2024","","","Q3","Tororo",86
"2024","","","Q4","Tororo",80
"2025","","","Q1","Tororo",85
"2025","","","Q2","Tororo",72
"2024","","","Q3","Buganda",109
"2024","","","Q4","Buganda",97
"2025","","","Q1","Buganda",99
"2025","","","Q2","Buganda",88
"2024","","","Q3","Buganda",102
"2024","","","Q4","Buganda",96
"2025","","","Q1","Buganda",111
"2025","","","Q2","Buganda",90
"2024","","","Q3","West Nile",85
"2024","","","Q4","West Nile",78
"2025","","","Q1","West Nile",90
"2025","","","Q2","West Nile",62
